id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-26 16:48:24,"{""short_code"":""qva5vT"",""original_url"":""https://example.com/calm/valley/1""}"
2,2,5,created,2025-03-19 07:21:58,"{""short_code"":""EEC8gs"",""original_url"":""https://relay.cloud/harbor/harvest/2""}"
3,3,370,created,2025-10-05 06:30:29,"{""short_code"":""r12pvG"",""original_url"":""https://hackstack.io/cobalt/garden/3""}"
4,4,7,created,2025-02-23 18:05:21,"{""short_code"":""yWJ6bc"",""original_url"":""https://opswise.net/proud/canyon/4""}"
5,5,198,created,2025-06-25 15:06:31,"{""short_code"":""vAeDPd"",""original_url"":""https://example.com/vivid/uplink/5""}"
6,6,257,created,2025-02-17 23:04:07,"{""short_code"":""YdOW7p"",""original_url"":""https://seeded.app/rapid/delta/6""}"
7,7,99,created,2025-12-12 13:52:17,"{""short_code"":""aVSur5"",""original_url"":""https://opswise.net/cobalt/field/7""}"
8,8,70,created,2025-07-11 14:09:53,"{""short_code"":""RUyKuT"",""original_url"":""https://acme.dev/calm/lagoon/8""}"
9,9,318,created,2025-05-08 11:26:37,"{""short_code"":""qnRidi"",""original_url"":""https://opswise.net/gold/kernel/9""}"
10,10,150,created,2025-11-14 05:57:49,"{""short_code"":""SpEw66"",""original_url"":""https://seeded.app/silver/anchor/10""}"
11,11,61,created,2025-03-22 16:23:02,"{""short_code"":""oiIgFg"",""original_url"":""https://opswise.net/calm/harvest/11""}"
12,12,342,created,2025-05-05 07:39:09,"{""short_code"":""aYhRQP"",""original_url"":""https://relay.cloud/brisk/field/12""}"
13,13,268,created,2025-08-05 10:57:20,"{""short_code"":""XNGmsw"",""original_url"":""https://hackstack.io/proud/orbit/13""}"
14,14,236,created,2025-04-21 21:39:15,"{""short_code"":""bWHnuc"",""original_url"":""https://seeded.app/opal/meadow/14""}"
15,15,230,created,2025-07-03 11:31:11,"{""short_code"":""OavmSS"",""original_url"":""https://relay.cloud/quiet/river/15""}"
16,16,284,created,2025-08-19 15:12:28,"{""short_code"":""OrSbrc"",""original_url"":""https://example.com/mellow/beacon/16""}"
17,17,95,created,2025-12-15 22:41:21,"{""short_code"":""5UvgoB"",""original_url"":""https://hackstack.io/amber/garden/17""}"
18,18,388,created,2025-11-15 00:36:31,"{""short_code"":""fhGnYo"",""original_url"":""https://opswise.net/young/zenith/18""}"
19,19,87,created,2025-12-02 09:39:13,"{""short_code"":""S5zaMM"",""original_url"":""https://hackstack.io/ivory/zenith/19""}"
20,20,307,created,2026-01-11 16:15:42,"{""short_code"":""Hnk7cJ"",""original_url"":""https://relay.cloud/mellow/signal/20""}"
21,21,186,created,2026-01-19 22:58:55,"{""short_code"":""JX39ic"",""original_url"":""https://acme.dev/gold/river/21""}"
22,22,243,created,2025-04-29 05:37:28,"{""short_code"":""z9NVYz"",""original_url"":""https://hackstack.io/vivid/island/22""}"
23,23,68,created,2025-02-24 08:31:38,"{""short_code"":""k0bKNK"",""original_url"":""https://relay.cloud/gold/orbit/23""}"
24,24,353,created,2025-02-15 18:12:17,"{""short_code"":""emv1Xj"",""original_url"":""https://example.com/jade/trail/24""}"
25,25,362,created,2025-09-18 21:13:41,"{""short_code"":""v8zCPw"",""original_url"":""https://hackstack.io/mellow/journey/25""}"
26,26,52,created,2025-03-01 18:13:01,"{""short_code"":""ifrqPK"",""original_url"":""https://opswise.net/silver/anchor/26""}"
27,27,1,created,2026-01-06 09:53:05,"{""short_code"":""SpkM7D"",""original_url"":""https://relay.cloud/ember/canyon/27""}"
28,28,70,created,2025-11-12 02:57:00,"{""short_code"":""5rM7Wf"",""original_url"":""https://example.com/clear/signal/28""}"
29,29,211,created,2025-12-11 04:43:28,"{""short_code"":""B9CMdz"",""original_url"":""https://seeded.app/ivory/valley/29""}"
30,30,386,created,2025-08-25 10:06:03,"{""short_code"":""LQhGGo"",""original_url"":""https://seeded.app/jade/garden/30""}"
31,31,365,created,2025-02-25 00:10:10,"{""short_code"":""aOPIMc"",""original_url"":""https://opswise.net/vivid/anchor/31""}"
32,32,398,created,2025-04-26 06:34:50,"{""short_code"":""TP5hC2"",""original_url"":""https://relay.cloud/mellow/valley/32""}"
33,33,7,created,2025-01-30 18:40:32,"{""short_code"":""6WR4NJ"",""original_url"":""https://example.com/vivid/journey/33""}"
34,34,237,created,2025-07-09 00:50:20,"{""short_code"":""NacOYn"",""original_url"":""https://relay.cloud/harbor/network/34""}"
35,35,110,created,2026-01-02 20:22:07,"{""short_code"":""YCYRZM"",""original_url"":""https://opswise.net/lively/yard/35""}"
36,36,296,created,2026-01-08 10:48:21,"{""short_code"":""6L0qZB"",""original_url"":""https://seeded.app/lively/anchor/36""}"
37,37,68,created,2025-10-30 04:46:29,"{""short_code"":""dJJw8y"",""original_url"":""https://example.com/lively/kernel/37""}"
38,38,342,created,2025-09-20 21:34:19,"{""short_code"":""AjYIJZ"",""original_url"":""https://example.com/opal/delta/38""}"
39,39,2,created,2025-09-27 07:16:38,"{""short_code"":""aruxp0"",""original_url"":""https://relay.cloud/amber/delta/39""}"
40,40,347,created,2025-01-23 15:47:44,"{""short_code"":""8ec1dj"",""original_url"":""https://example.com/ember/zenith/40""}"
41,41,315,created,2025-08-14 23:14:25,"{""short_code"":""az4gQC"",""original_url"":""https://example.com/vivid/delta/41""}"
42,42,310,created,2025-01-27 10:05:54,"{""short_code"":""4gVFlO"",""original_url"":""https://seeded.app/ember/anchor/42""}"
43,43,130,created,2025-02-21 00:39:00,"{""short_code"":""Xxkxc8"",""original_url"":""https://relay.cloud/mellow/field/43""}"
44,44,207,created,2025-03-19 19:17:51,"{""short_code"":""b724QW"",""original_url"":""https://opswise.net/navy/field/44""}"
45,45,289,created,2025-10-15 21:32:16,"{""short_code"":""5gRFUG"",""original_url"":""https://relay.cloud/proud/signal/45""}"
46,46,94,created,2025-01-26 00:45:51,"{""short_code"":""yCU3WP"",""original_url"":""https://hackstack.io/forest/uplink/46""}"
47,47,22,created,2025-09-05 20:19:59,"{""short_code"":""sr7uxg"",""original_url"":""https://seeded.app/keen/orbit/47""}"
48,48,94,created,2025-11-18 02:44:56,"{""short_code"":""baRoqp"",""original_url"":""https://example.com/quiet/beacon/48""}"
49,49,63,created,2025-09-03 20:40:56,"{""short_code"":""idMZTn"",""original_url"":""https://seeded.app/navy/anchor/49""}"
50,50,292,created,2026-01-06 05:26:04,"{""short_code"":""thOjKu"",""original_url"":""https://seeded.app/urban/trail/50""}"
51,51,257,created,2025-10-21 08:07:29,"{""short_code"":""irvT1q"",""original_url"":""https://example.com/quiet/pioneer/51""}"
52,52,360,created,2025-03-26 16:59:28,"{""short_code"":""hi1RrA"",""original_url"":""https://example.com/cobalt/trail/52""}"
53,53,362,created,2025-12-09 13:06:02,"{""short_code"":""aXbYbz"",""original_url"":""https://acme.dev/young/window/53""}"
